file_path,version_type,edition_info,volume,page,library,catalog_number,line_count,average_confidence,is_vertical
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 8明嘉靖十三年（1534）秦藩朱惟焯刻二十九年（1550）重修本/【1】01464 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖十三年（1534）秦藩朱惟焯刻二十九年（1550）重修本 新疆大学图书馆/01464史记一百三十卷新大3.jpg,C,C史记 集解、索隐、正义三家注本 8明嘉靖十三年（1534）秦藩朱惟焯刻二十九年（1550）重修本,,,新疆大学图书馆,1-01464,26,0.6312,否
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 2宋元明清集配本/【1】00398 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 宋元明清集配本 中国书店/百衲本史记-9.jpg,C,C史记 集解、索隐、正义三家注本 2宋元明清集配本,,,,1-00398,12,0.9819,是
../data/名录 史记2025-11-6/B史记 集解、索隐合刻本 5明正德刘弘毅慎独斋刻本/【2】03475 （二）03223 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 明正德刘弘毅慎独斋刻本 山东省图书馆/IMG_4197.jpg,B,B史记 集解、索隐合刻本 5明正德刘弘毅慎独斋刻本,,,山东省图书馆,2-03475,18,0.9792,是
../data/名录 史记2025-11-6/A史记 集解本 3明影抄宋绍兴淮南路转运司刻本/【3】07473 （三）01119 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 明影抄宋绍兴淮南路转运司刻本 傅增湘跋 山西博物院#存一百九卷/00223.《史记》一百三十卷3.jpg,A,A史记 集解本 3明影抄宋绍兴淮南路转运司刻本,3,,,3-07473,44,0.9758,是
../data/名录 史记2025-11-6/B史记 集解、索隐合刻本 5明正德刘弘毅慎独斋刻本/【2】03475 （二）03223 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 明正德刘弘毅慎独斋刻本 山东省图书馆/IMG_4199.jpg,B,B史记 集解、索隐合刻本 5明正德刘弘毅慎独斋刻本,,,山东省图书馆,2-03475,3,0.7727,否
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【3】07483 （三）00342 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 邹道沂批校 北京师范大学图书馆/史记王延哲刻邹道沂批.jpg,C,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本,,,北京师范大学图书馆,3-07483,19,0.9763,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 7明嘉靖十三年（1534）秦藩朱惟焯刻本/【2】03497 （二）06051 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖十三年（1534）秦藩朱惟焯刻本 辽宁省图书馆/10247.jpg,C,C史记 集解、索隐、正义三家注本 7明嘉靖十三年（1534）秦藩朱惟焯刻本,,,辽宁省图书馆,2-03497,19,0.9888,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03484 （二）00501 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 中共福建省委党校图书馆/书影350000-2047-0000003/破损书影/350000-2047-0000003-01.jpg,C,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本,,,中共福建省委党校图书馆,2-03484,21,0.9176,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【5】11555 （五）07637 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本（有明嘉靖四年汪谅刻本、嘉靖十三年秦/图片6.jpg,C,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本,,,,5-11555,7,0.9097,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 8明嘉靖十三年（1534）秦藩朱惟焯刻二十九年（1550）重修本/【3】07490 （三）11165 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖十三年（1534）秦藩朱惟焯刻二十九年（1550）重修本 四川大学图书馆/史記 卷二卷末 明 四川大學圖書館.jpg,C,C史记 集解、索隐、正义三家注本 8明嘉靖十三年（1534）秦藩朱惟焯刻二十九年（1550）重修本,二,,四川大学图书馆,3-07490,4,0.9440,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 2宋元明清集配本/【1】00398 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 宋元明清集配本 中国书店/百衲本史记-8.jpg,C,C史记 集解、索隐、正义三家注本 2宋元明清集配本,,,,1-00398,25,0.9748,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【5】11555 （五）07637 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本（有明嘉靖四年汪谅刻本、嘉靖十三年秦/图片1.jpg,C,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本,,,,5-11555,25,0.9929,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 2宋元明清集配本/【1】00398 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 宋元明清集配本 中国书店/百衲本史记-6.jpg,C,C史记 集解、索隐、正义三家注本 2宋元明清集配本,,,,1-00398,23,0.9791,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 2宋元明清集配本/【1】00398 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 宋元明清集配本 中国书店/00398 史记一百三十卷 中国书店蒙古中统本.jpg,C,C史记 集解、索隐、正义三家注本 2宋元明清集配本,,,,1-00398,55,0.9202,是
../data/名录 史记2025-11-6/B史记 集解、索隐合刻本 1宋乾道七年（1171）蔡梦弼东塾刻本/【5】11433 （五）05121 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 宋乾道七年（1171）蔡梦弼东塾刻本（配宋淳熙三年张杅桐川郡斋刻八年耿秉重修本，配宋刻十四行/史记.jpg,B,B史记 集解、索隐合刻本 1宋乾道七年（1171）蔡梦弼东塾刻本,,,,5-11433,26,0.9673,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 2宋元明清集配本/【1】00398 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 宋元明清集配本 中国书店/百衲本史记-1.jpg,C,C史记 集解、索隐、正义三家注本 2宋元明清集配本,,,,1-00398,0,0.0000,否
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本/【3】07477 （三）11321 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四年（1525）汪谅刻本 丁丙跋 南京图书馆/书影/300/000003.jpg,C,C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本,,,南京图书馆,3-07477,17,0.9840,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本/【3】07476 （三）08347 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四年（1525）汪谅刻本 上海师范大学图书馆/043-1.jpg,C,C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本,,,上海师范大学图书馆,3-07476,21,0.9857,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03489 （二）07274 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 苏州博物馆/300/2.jpg,C,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本,,,,2-03489,21,0.9526,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03489 （二）07274 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 苏州博物馆/300/5.jpg,C,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本,,,,2-03489,9,0.9737,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【3】07478 （三）11322 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 南京图书馆/书影/300/000002.jpg,C,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本,,,南京图书馆,3-07478,26,0.9815,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本/【3】07474 （三）05343 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四年（1525）汪谅刻本 黑龙江省图书馆/正文-1.jpg,C,C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本,,,黑龙江省图书馆,3-07474,16,0.9913,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 6明嘉靖八至九年（1529-1530）南京国子监刻本/【3】07486 （三）07634 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖八至九年（1529-1530）南京国子监刻本 西安碑林博物馆/史記一百三十卷 明嘉靖九年 卷端 碑林博物馆.jpg,C,C史记 集解、索隐、正义三家注本 6明嘉靖八至九年（1529-1530）南京国子监刻本,,,,3-07486,24,0.9899,是
../data/名录 史记2025-11-6/B史记 集解、索隐合刻本 4明正德十三年（1518）邵宗周刻本/【4】10160 （四）00096 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 明正德十三年（1518）邵宗周刻本 欧阳辅跋 江西省图书馆#存一百二十六卷/史記·卷一百三十p1a.jpg,B,B史记 集解、索隐合刻本 4明正德十三年（1518）邵宗周刻本,一百三十,1a,江西省图书馆,4-10160,18,0.9115,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 8明嘉靖十三年（1534）秦藩朱惟焯刻二十九年（1550）重修本/【3】07491 （三）07923 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖十三年（1534）秦藩朱惟焯刻二十九年（1550）重修本 李宗侗批校 河北大/b01.jpg,C,C史记 集解、索隐、正义三家注本 8明嘉靖十三年（1534）秦藩朱惟焯刻二十九年（1550）重修本,,,,3-07491,6,0.9990,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本/【2】03478 （二）08604 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四年（1525）汪谅刻本 甘肃省图书馆/DSC00724.jpg,C,C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本,,,甘肃省图书馆,2-03478,57,0.5928,否
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本/【2】03480 （二）05845 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四年（1525）汪谅刻本 西安碑林博物馆/DSG_1801.jpg,C,C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本,,,,2-03480,18,0.9711,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本/【3】07474 （三）05343 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四年（1525）汪谅刻本 黑龙江省图书馆/目录-2.jpg,C,C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本,,,黑龙江省图书馆,3-07474,6,0.9969,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本/【5】11553 （五）18394 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四年（1525）汪谅刻本 上海图书公司/_MG_7894.jpg,C,C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本,,,,5-11553,19,0.9921,是
../data/名录 史记2025-11-6/D史记 三家注明陈仁锡评本 1明末程正揆刻清怀德堂印本/【2】03499 （二）03224 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 （明）陈仁锡评 明末程正揆刻清怀德堂印本 李文藻录沈廷芳批并录沈廷芳录方/IMG_5060.jpg,D,D史记 三家注明陈仁锡评本 1明末程正揆刻清怀德堂印本,,,,2-03499,13,0.9542,否
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【5】11555 （五）07637 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本（有明嘉靖四年汪谅刻本、嘉靖十三年秦/史記一百三十卷2.jpg,C,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本,2,,,5-11555,27,0.9302,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03489 （二）07274 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 苏州博物馆/300/4.jpg,C,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本,,,,2-03489,8,0.9661,是
../data/名录 史记2025-11-6/A史记 集解本 1北宋刻本/【1】00393 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 北宋刻本（卷一至四、八至一百三十配南宋初建阳刻本） 北京大学图书馆/00393 史记一百三十卷 北大.jpg,A,A史记 集解本 1北宋刻本,,,北京大学图书馆,1-00393,42,0.9712,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03489 （二）07274 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 苏州博物馆/300/3.jpg,C,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本,,,,2-03489,9,0.9950,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本/【2】03476 （二）03215 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四年（1525）汪谅刻本 山东省图书馆/IMG_4549.jpg,C,C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本,,,山东省图书馆,2-03476,24,0.9761,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本/【3】07477 （三）11321 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四年（1525）汪谅刻本 丁丙跋 南京图书馆/书影/300/000002.jpg,C,C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本,,,南京图书馆,3-07477,33,0.9787,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本/【2】03481 （二）10112 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四年（1525）汪谅刻本 襄樊市少年儿童图书馆/9.史记一百三十卷.jpg,C,C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本,,,襄樊市少年儿童图书馆,2-03481,29,0.9770,是
data/名录 史记2025-11-6/A史记 集解本 1北宋刻本/【1】00393 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 北宋刻本（卷一至四、八至一百三十配南宋初建阳刻本） 北京大学图书馆/0000004b.jpg,A,A史记 集解本 1北宋刻本,,,北京大学图书馆,1-00393,31,0.9641,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本/【2】03477 （二）08298 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四年（1525）汪谅刻本 叶启发跋 湖南图书馆/史记2.jpg,C,C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本,,,湖南图书馆,2-03477,26,0.9905,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本/【3】07474 （三）05343 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四年（1525）汪谅刻本 黑龙江省图书馆/IMG_2749.jpg,C,C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本,,,黑龙江省图书馆,3-07474,6,0.9976,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03488 （二）07242 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 丁丙跋 南京图书馆/614-110169史記/00000006.jpg,C,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本,,,南京图书馆,2-03488,21,0.9691,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03495 （二）04594 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 河南省图书馆#存八十八卷/史记-2.jpg,C,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本,,,河南省图书馆,2-03495,11,0.9833,是
../data/名录 史记2025-11-6/D史记 三家注明陈仁锡评本 1明末程正揆刻清怀德堂印本/【2】03499 （二）03224 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 （明）陈仁锡评 明末程正揆刻清怀德堂印本 李文藻录沈廷芳批并录沈廷芳录方/IMG_5061.jpg,D,D史记 三家注明陈仁锡评本 1明末程正揆刻清怀德堂印本,,,,2-03499,5,0.9861,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03488 （二）07242 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 丁丙跋 南京图书馆/614-110169史記/00000001.jpg,C,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本,,,南京图书馆,2-03488,8,0.9862,是
../data/名录 史记2025-11-6/E史记 三家注明徐孚远陈子龙测议本 1明末刻本/【4】10162 （四）14682 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 （明）徐孚远 陈子龙测议 明末刻本 郭嵩焘批注 湖南师范大学图书馆/湖南师大史记札记序.jpg,E,E史记 三家注明徐孚远陈子龙测议本 1明末刻本,,,湖南师范大学图书馆,4-10162,14,0.9563,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 9明万历二至三年（1574-1575）南京国子监刻本/【2】03498 （二）07735 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明万历二至三年（1574-1575）南京国子监刻本 严虞惇跋并录归有光批 归朝煦 顾王/03494 常熟.jpg,C,C史记 集解、索隐、正义三家注本 9明万历二至三年（1574-1575）南京国子监刻本,,,,2-03498,20,0.9885,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本/【2】03480 （二）05845 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四年（1525）汪谅刻本 西安碑林博物馆/DSG_1800.jpg,C,C史记 集解、索隐、正义三家注本 4明嘉靖四年（1525）汪谅刻本,,,,2-03480,29,0.9622,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03493 （二）09028 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 李承祥跋 重庆图书馆/集解P5b.jpg,C,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本,,5b,重庆图书馆,2-03493,18,0.9901,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【3】07478 （三）11322 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 南京图书馆/书影/300/000003.jpg,C,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本,,,南京图书馆,3-07478,21,0.9525,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 8明嘉靖十三年（1534）秦藩朱惟焯刻二十九年（1550）重修本/【3】07489 （三）04744 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖十三年（1534）秦藩朱惟焯刻二十九年（1550）重修本 南京图书馆/00000001.jpg,C,C史记 集解、索隐、正义三家注本 8明嘉靖十三年（1534）秦藩朱惟焯刻二十九年（1550）重修本,,,南京图书馆,3-07489,6,0.9982,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03485 （二）02652 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 中国书店/003-b03.jpg,C,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本,,,,2-03485,20,0.9758,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 2宋元明清集配本/【1】00398 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 宋元明清集配本 中国书店/百衲本史记-23.jpg,C,C史记 集解、索隐、正义三家注本 2宋元明清集配本,,,,1-00398,26,0.9793,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 8明嘉靖十三年（1534）秦藩朱惟焯刻二十九年（1550）重修本/【3】07489 （三）04744 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖十三年（1534）秦藩朱惟焯刻二十九年（1550）重修本 南京图书馆/00000006.jpg,C,C史记 集解、索隐、正义三家注本 8明嘉靖十三年（1534）秦藩朱惟焯刻二十九年（1550）重修本,,,南京图书馆,3-07489,21,0.9772,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【2】03485 （二）02652 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 中国书店/003-b04.jpg,C,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本,,,,2-03485,4,0.9406,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 2宋元明清集配本/【1】00398 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 宋元明清集配本 中国书店/百衲本史记-24.jpg,C,C史记 集解、索隐、正义三家注本 2宋元明清集配本,,,,1-00398,3,0.9772,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 1宋黄善夫刻本/【1】00397 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 宋建安黄善夫家塾刻本 黄绍箕 罗振玉题款 国家图书馆#存六十八卷/GJ3141史记一百三十卷.jpg,C,C史记 集解、索隐、正义三家注本 1宋黄善夫刻本,,,国家图书馆,1-00397,29,0.9012,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 2宋元明清集配本/【1】00398 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 宋元明清集配本 中国书店/百衲本史记-12.jpg,C,C史记 集解、索隐、正义三家注本 2宋元明清集配本,,,,1-00398,19,0.9846,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 2宋元明清集配本/【1】00398 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 宋元明清集配本 中国书店/百衲本史记-15.jpg,C,C史记 集解、索隐、正义三家注本 2宋元明清集配本,,,,1-00398,4,0.9802,是
../data/名录 史记2025-11-6/C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本/【6】12488 （六）03033 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 （唐）张守节正义 明嘉靖四至六年（1525-1527）王延喆刻本 丁晏跋 湖南图书馆/IMG_1234.jpg,C,C史记 集解、索隐、正义三家注本 5明嘉靖四至六年（1525-1527）王延喆刻本,,,湖南图书馆,6-12488,110,0.9803,否
../data/名录 史记2025-11-6/B史记 集解、索隐合刻本 5明正德刘弘毅慎独斋刻本/【2】03475 （二）03223 史记一百三十卷 （汉）司马迁撰 （南朝宋）裴骃集解 （唐）司马贞索隐 明正德刘弘毅慎独斋刻本 山东省图书馆/IMG_4200.jpg,B,B史记 集解、索隐合刻本 5明正德刘弘毅慎独斋刻本,,,山东省图书馆,2-03475,2,0.6268,否
